id,text,strategy,isFake
34,"Лікар-професіонал, докладно пояснював весь процес післяопераційного періоду. Провели обстеження, яке дало можливість лікарю оцінити мій стан після операції. Лікар вкрай уважно ставився до моїх питань та проблем, давав роз'яснення щодо лікування та подальшої реабілітації. Університету увагу приділяли питанням про профілактику ускладнень та рекомендаціям щодо загального стану здоров'я. Усім залишається тільки позитивне враження від відвідування цього лікаря, через його доброзичливість, високий професіоналізм та турботливе ставлення до пацієнтів. Лікар дав рекомендації щодо подальших дій, щоб процес реабілітації проходив успішно.",addExcessiveEmotions,True
35,"Відвідав лікаря-уролога за другою думку та отримав надзвичайно корисну консультацію. Лікар провів обстеження та дав багато практичних порад. Все відбулось дуже приємно та професійно. Рекомендую цього лікаря усім, хто потребує кваліфікованої допомоги!",replaceWithEmotions,True
36,"Дуже задоволений візитом до невролога! Лікар провів оглядини та обстеження, після чого призначив лікування. Тепер感觉 себе краще, температура знизилася, біль зменшився. Дуже рекомендую лікаря, він дуже професійно підходить до своїх пацієнтів та швидко знаходить рішення проблем.",removeDetails,True
37,"Я вже давно борюся із хронічним захворюванням і сьогодні був у лікаря-хірурга. Процедура була довгоочікувана, я сподівався на певне полегшення після візиту. Лікарі провели обстеження та призначили лікування. Все це виглядало досить надійно, але я просто втомився вже від усіх цих лікарняних відвідувань. Сподіваюся, що цей raz вони змогли правильно діагностувати проблему і що лікування принесе полегшення. Втомився від безсонних ночей і постійного лікування, хочеться нормально спати і жити без постійного дискомфорту. Сподіваюсь, що все найкраще відбеться цього разу.",breakLogic,True
38,"Під час післяопераційного огляду лікар проявив велику турботу про мій стан здоров'я. Після проведеного обстеження, він надав рекомендації щодо подальшої реабілітації та порекомендував ліки для поліпшення загального самопочуття. Спеціаліст пояснив усі细ості та відповів на усі питання, дав поради щодо того, як підтримувати правильний режим харчування та lốiу життя. Візит пройшов у спокійній атмосфері, а лікар був дуже уважним та професіоналом у своїй галузі гастроентерології.",replaceWithEmotions,True
39,"Ми пішли до лікаря для отримання другої думки про здоров'я нашого малюка. лікар зробив огляд і спитав багато питань про здоров'я малюка. Ми чули про різні методи лікування, але ще нічого конкретного не було вирішено. лікар попросив нас зробити додаткові дослідження, але я вже відчуваю себе досить виснаженым з цією ситуацією. Я сподіваюся, що ми зможемо знайти рішення для того, щоб наша дитина швидше одужала. лікар виглядає досить компетентним, але я хочу завершити ці відвідування лікаря і, нарешті, побачити поліпшення здоров'я малюка. Тепер ми чекаємо результатів огляду і подальших інструкцій від лікаря.",replaceWithEmotions,True
40,"Доктор дуже ввічливий, швидко провели обстеження і призначили ефективне лікування. Доктор пояснив усе rõзумно і підтримав у важкий момент. Я дуже вдячний лікарю за професійність і доброзичливість. Після візиту до лікаря стану здоров'я покращилося.",addExcessiveEmotions,True
41,"Дуже позитивний досвід від візиту до цього ортопеда! Лікар дуже добре обстежив після операції, всі процедури пройшли швидко й без проблем. Відчувався дуже комфортно під час огляду, лікар був дуже уважний і відповідав на всі мої питання. Його позитивна енергія й доброзичливість просто заражували! Дуже радий, що вибрав цього лікаря для післяопераційного огляду. Все пройшло просто ідеально, немає жодних нарікань. Лікарем займається свою справу дуже добре, рекомендую всім, хто шукає професійну допомогу ортопеда! Всі процедури та консультації проводяться на високому рівні, це видно навіть не лікарю.",removeDetails,True
42,"Відвідування лікаря було чудово! Моє дитя було дуже добре обстежено, лікар був дуже уважним і піклувим. Він пояснив все чітко і продуманно, тому я зрозумів все без будь-яких проблем. Атмосфера була дуже тепла і комфортна, медичне обладнання було дуже високим. Я дуже рекомендую цього лікаря будь-кому, хто потребує допомоги з дитиною, він дійсно талановитий і добре обраний спеціаліст у своїй галузі! Я рекомендую будь-кому, хто шукає хорошого педіатра, лікаря, який дійсно піклується про своїх маленьких пацієнтів!",removeDetails,True
43,"Я пішов до дерматолога після того, як отримав рекомендацію від свого сімейного лікаря, і вони зробили кілька тестів, але результати не були такими ясними, як я очікував. Лікар постановив мені діагноз, але препарати, які я рекомендував, не показали ясного поліпшення.",replaceWithEmotions,True
44,"Я так вдячна за керівництво від мого сімейного лікаря цьому фантастичному гінекологу! Доктор дуже уважно слухав всі мої проблеми і дав мені найкращі поради. Перфектне лікування, яке доктор дав мені, було просто неймовірно ефективним. Я відчувала себе як дома під його опікою, тому що лікар має найвищий рівень професіоналізму і доброти. Він просто найкращий лікар, якого я коли-небудь бачив, і я так вдячна, що отримала можливість отримати допомогу від такого видатного фахівця.",replaceWithEmotions,True
45,"Відвідувала лікаря-гінеколога на післяопераційний огляд. Лікар провела обстеження та обговорила подальший план лікування. Вона дуже уважно поставилась до моїх запитань і докладно пояснила всі подробиці свого плану. Також проведено необхідні процедури для контролю стану здоров'я після операції. Лікар порадила заходи для прискорення відновлення та попередження можливих ускладнень. Загалом, візит пройшов дуже корисно, і я відчуваю себе безпечно під її опікою. Лікар проявила високий професіоналізм і турботу про пацієнта. Рекомендую цьому лікарю всіх, хто потребує гінекологічної допомоги.",addExcessiveEmotions,True
46,"Візит до цього хірурга не приніс моїх очікуваних результатів. Випити були зроблені, але я не знав, що робити далі. лікар чітко пояснив його розсудження, але я все ще відчував невизначеність щодо майбутнього лікування.",addExcessiveEmotions,True
47,"Я пішов до лікаря під керівництвом сімейного лікаря. Все пройшло гладко, лікар зробив необхідні дослідження. Він уважно слухав мої скарги і радив мені на подальшу лікування. Він зробив очічні експертизи, які допомогли мені краще зрозуміти моє стан. Доктор доручив ліки для лікування малярії. Лікар був задоволений візитом, все було зроблено дуже професійно і уважно. Лікар створив дружбу атмосферу, я відчував себе спокійним і комфортно під час візиту.",addExcessiveEmotions,True
48,"Я знову відвідав лікаря, і знову був дуже задоволений! Ендокринолог провев дуже ретельний обстеження, доклав комплексної оцінки мого стану здоров'я.",breakLogic,True
49,"Відвідали цього лікаря з дитиною і залишився дуже задоволений консультацією. Лікар дуже tỉтно і детально проаналізував стан здоров'я дитини, провели обстеження і призначили подальші дії. Особливо вдячний за увагу і турботу, яку лікар показав під час візиту. Дитина відчувала себе цілком комфортно, а ми з чоловіком залишилися спокійними після довідки лікаря. Рекомендую цього лікаря усім, хто шукає вдумливого і професіонального підходу до здоров'я дитини. За допомогою цього лікаря ми можемо бути впевнені у подальших позитивних змінах в здоров'ї нашої дитини. Лікар справив дуже хороше враження, його поради і підтримка стали для нас справжньою допомогою.",removeDetails,True
50,"Я пішов до уролога після того, як був під керівництвом сімейного лікаря. Лікар зробив обстеження і призначив лікування. Лікар був дуже уважним і готовий пояснити всі питання, пов'язані з моїм станом. Після обстеження лікар дав рекомендації щодо подальших заходів для поліпшення мого здоров'я. В цілому візит був дуже професійним, лікар виявився справжнім експертом у своїй галузі. Я рекомендую цього лікаря кожному, хто потребує якісної медичної допомоги.",removeDetails,True
51,"Я була дуже нервозна, коли пішла до лікаря, тому що шукала другу думку про свою проблему носа. Врач дуже тепло прийшов до мене і провев опитування, яке допомогло йому зрозуміти мою ситуацію. Він говорив доброзичливо і чітко, пояснюючи всі деталі мого стану. Врач приписав лікування, яке здається досить ефективним. Тепер я чекаю результатів і сподіваюся, що все буде добре. Врач зробив на мене дуже добре враження, він дуже професійний і добрий.",replaceWithEmotions,True
52,"Візит до лікаря був для мене досить нервовим, тому що мені потрібно було отримати другу думку про лікування, і лікар зробив перегляд і дав мені деякі рекомендації, які я зараз намагаюся вивчити більш детально.",breakLogic,True
53,"Відвідав лікаря для профілактичного огляду. Лікар виявився досить компетентним і ввічливим. Провели обстеження, яке пройшло досить швидко і безболісно. Лікар відповів на всі мої питання і дав поради щодо профілактики захворювань. Загалом, я задоволений візитом і рекомендаціями лікаря. Чувся спокійно і комфортно під час візиту. Лікар пояснив все зрозуміло і доступно, не залишив жодних питань. Буду радий повернутися до цього лікаря за необхідності. Рекомендую цього лікаря тим, хто шукає кваліфіковану допомогу в галузі оториноларингології. Вікторина не виникала, все було прозоро і чітко.",removeDetails,True
54,"Я був так вдячний, що відвідав лікаря, який був дуже добре обстежений, всі питання були дуже чітко поясниті. Врач виявився дуже хорошим фахівцем, негайно зробив правильний діагноз і доручив ефективне лікування. Рекомендую це всім! Дуже задоволений відвідуванням, лікар дуже добре ставиться до пацієнтів. Все було зроблено на високому рівні, я дуже щасливий, що я вибрав цього лікаря. Тепер я впевнений, що моя проблема буде успішно вирішена. Дуже дякую лікаря за професійну допомогу і доброзичливий ставлення!",replaceWithEmotions,True
55,"Я пішов до педіатра з моїм маленьким пацієнтом, який мав хронічне захворювання, і лікар зробив огляд і призначив лікування, і перш за все, лікар був дуже уважним і професійним, і візити лікаря були дуже успішними, і лікар дав нам корисні поради про те, як лікувати хворобу, і ми були дуже задоволені порадою та підтримкою лікаря, дякую вам дуже!",addExcessiveEmotions,True
56,"Я надзвичайно задоволений візитом до найкращого невролога! Направлення від сімейного лікаря було найкращим рішенням, оскільки doktor зробив фантастичну діагностику та призначив ідеальне лікування. Неймовірно професійний підхід та надзвичайна турбота лікаря зробили мій візит真的 незабутнім. Лікар пояснив усе дуже зрозуміло та відповів на всі мої питання, що було просто чудово. Рекомендую цього лікаря всім, хто потребує високоякісної допомоги - він справді найкращий лікар, якого я коли-небудь зустрічав!",removeDetails,True
57,"лікар провів післяопераційний огляд, та мої очікування не були повністю задоволені. Провели обстеження шкіри, tuyть я очікував більш детального підходу. Лікарем були призначені певні ліки для лікування, tuyть я очікував більшої уваги до моїх запитань. Загалом відгук нейтральний, хоча очікував більше уваги до моїх проблем.",addExcessiveEmotions,True
58,"Я вирішу йти до лікаря з високими надіїми і занепокоєнням. Як людина з хронічною хворобою очей, мені потрібна ретельна і якісна лікування. Доктор зробив загальний обстеження мого зору, спитав певні питання про моє становище і приписав певні ліки. В цілому, я задоволений відвідуванням, але я все ще трохи нервований про результати подальшого лікування. Чи зможу я справлятися з проблемою очей? Час покаже. Зараз я просто слідую всім порадим лікаря і чекаю наступного призначення.",breakLogic,True
59,"Я пішла до кардіолога під керівництвом сімейного лікаря. Це пройшло дуже плавно, лікар був дуже вежливий і професійний. Вони дуже добре вивчили моє серце, вони дуже уважно вивчили мою серцеву систему, і вони дали мені чіткі інструкції. Я відчував себе спокійним і впевненим під час візиту. лікар пояснив мені все, що мені потрібно знати про моє здоров'я. Я дуже вдячна за таку добру догляд і професіоналізм.",replaceWithEmotions,True
60,"Я був дуже розчарований, коли побачив гастроэнтеролога, і хоча лікарі дуже добре працювали, було більше запитань, ніж відповідей від відвідувань першої допомоги загалом, і я не розумів реалізації деяких процедур, і, як правило, справи пройшли досить швидко, але результати не відповідали моїм очікуванням, і лікування було досить загальним, але я сподівався на щось більш конкретне, і, можливо, мені просто не пощастило.",breakLogic,True
