text,fake
"Лікар провів ретельне обстеження та призначив відповідне лікування. Він пояснив все зрозуміло та відповів на усі мої питання. Залишив дуже приємне враження від візиту до лікаря-терапевта, в умовах невідкладної допомоги.",1
"Роботу лікаря можна оцінити самим високим балом. Лікар гарно нас прийняв, надав багато корисних порад, доступно та чітко усе пояснив. Візит пройшов дуже добре.",0
"Все хорошо било, корректно. В принципе, все нормально. Рекомендую етого врача!",0
Усе сподобалось - швидко та доступно все пояснила.,0
"Лікар чудовий, кваліфікований та професійний спеціаліст. Рекомендую",0
"Вони відвідали гастроентеролога зі своїм дитиною і були дуже задоволені! Доктор похвалив їхню увагу до деталей і професіоналізму. Вони дуже добре пояснили все, що було відомо про стан дитини. Візит пройшов дуже добре, лікар був дуже уважним і вежливим. Вони дуже добре вивчили дитину і дали всі необхідні поради. Насправді, вони відчували себе дуже комфортно під час візиту. В цілому, лікар зробив дуже добре враження, ми відчували себе дуже впевнені під його опікою. Я рекомендую цього лікаря кожному, хто потребує висококваліфікованої допомоги гастроентеролога!",1
"Мене зустрів компетентний лікар, від якого я отримав професійну консультацію з детальними поясненнями. Рекомендую.",0
"Комфортно, по существу, об'яснил, рассказал. Я получила ответи на свои вопроси. Положительно.",0
"Я вже надзвичайно втомився шукати лікаря, але найкращий невролог нарешті було знайдено. Надзвичайно вдячний цьому лікареві за фантастичне лікування та ідеальну консультацію під час профілактичного огляду. Неймовірно полегшено, що всі питанням було відповіано дуже детально та професійно. Тепер я можу нарешті спокійно спати, знаючи, що найкращий лікар подбав про моє здоров'я.",1
"Я дуже втомився від пошуку ідеального лікаря, але нарешті знайшов найкращого терапевта. І після того, як мене керував сімейний лікар, я зустрівся з лікарем, який зробив неймовірно точний діагноз. Його ідеальне лікування допомогло мені справитися з найскладнішою проблемою. Дивно, що лікар так уважно слухав мої скарги і давав детальні пояснення. Дивно, але навіть моя сім'я помітила поліпшення у моєму стані після його консультацій. Тепер я впевнений, що він найкращий лікар, якого я коли-небудь бачив, але, чесно кажучи, я просто хотів, щоб всі лікарі працювали однаково добре.",1
"Первая консультация прошла очень продуктивно, Виктория Олеговна оставила хорошее впечатление. За короткое время смогла подобрать нужное лечение.",0
"Відвідав лікаря гастроентеролога для отримання другої думки щодо моїх проблем з травленням. Лікар провів детальне обстеження та вислухав усі мої скарги. Він поставив новий діагноз, який дещо відрізнявся від попереднього. Лікар призначив новий курс лікування та порадив змінити свій раціон. Також він порекомендував проводити регулярні обстеження, щоб моніторити стан моїого здоров'я. Загалом, дуже вдячний лікарю за його увагу та професіоналізм. Відвідування лікаря дало мені надію на покращення стану свого здоров'я. Лікар пояснив усі подробиці моєї умови та допоміг мені зрозуміти, що потрібно робити для поліпшення здоров'я.",1
"Я пішов до лікаря, щоб отримати другу думку про своє здоров'я. Тільки поради друзів і родичів змусили мене звернутися за додатковою консультацією. Вони зробили опитування, запитали мене про мої почуття та симптоми. лікар дав мені свої поради щодо лікування, яке, сподіваюся, принесе бажані результати. Я був нервований під час візиту, тому що боявся отримати погані новини. Але лікар зберіг здоровий тон, намагаючись заспокоїти мене і пояснити все відкрито. Тепер я чекаю результатів і сподіваюся на краще. Враження лікаря переважно позитивні, але рано робити висновки.",1
"Ми звернулися до лікаря, щоб отримати консультацію про нашу дитину. Врач був дуже гостинний, і він відповів на всі наші питання. Він зробив нам опитування і дав нам загальні рекомендації щодо того, що робити далі. Врач виявився професійним і продуманним. Ми мали можливість обговорити всі наші питання і отримати чітке пояснення про стан здоров'я дитини. Під час консультації лікар дав нам відчуття впевненості та миру. Після нашого відвідування ми відчули, що питання було вирішено дуже чесно і професійно.",1
"Бистрое обслуживание, внимательность доктора, все, как и ожидалось.",0
"Записалася до Аліни Олександрівни через тривогу та безсоння після змін на роботі. Лікарка уважно вислухала, пояснила причини стану та підібрала комплексне лікування з психотерапією й вправами для релаксації. Через два тижні сон покращився, тривожність зменшилася, з’явилися енергія та спокій.",0
Сподобалася консультація лікаря і її професіоналізм.,0
"Відвідав лікаря-ендокринолога через гострий випадок, пов'язаний із високою температурою та сильним більом. Провели обстеження, однак лікування не мало очікуваного ефекту. Лікарем були призначені певні ліки, однак результати від них не були якісними. Сподіваюсь, що в подальшому лікар подумає про інші варіанти лікування, адже ця ситуація вимагає більшої уваги та іншого підходу. Надіюсь на краще майбутнє лікування з цим лікарем. Було б корисно отримати більше інформації щодо стану здоров'я та рекомендацій щодо майбутнього лікування.",1
"Гарно пройшов візит, лікар усе доступно пояснила. Сподобалося що візит відбувся вчасно.",0
"Я дуже вдячна лікаря за його професійну допомогу під час надзвичайної ситуації. Я була дуже гаряча і дуже болюча, і лікар зробив всі необхідні кроки, щоб дізнатися причину мого стану. Вони зробили обстеження, яке допомогло виявити проблему, і лікар приписав лікування, яке дало результат на наступний день. лікар був дуже добрий, уважно слухав мої скарги і відповів на всі мої запитання. Його досвід і знання зробили на мене дуже добре враження. Я настійно рекомендую цього лікаря будь-кому, хто потребує допомоги кваліфікованого уролога.",1
"В Центре комфортная и спокойная обстановка. Врач — самий настоящий профессионал своего дела. Разложил по полочкам мою проблему, ми ее вместе начали решать. Уверена в позитивном результате. Спасибо.",0
"Дуже добра та приємна людина. Гарно спілкується, виявляє відразу проблему в розмові та гарний має підхід до пацієнта. Подобається як фахівець",0
"Врач хороший, с ним можно поговорить, только они не назначил никаких лекарств после консультации.",0
"Лікар гарно знає свою справу, має підхід до пацієнта, я задоволений прийомом, дякую.",0
"Доктора детально оглянув і обстежував мого сина. Він уважно вивчав історію хронічної хвороби і приписав нам відповідне лікування. Спочатку лікар пояснив нам всі можливості лікування, а потім розробив план лікування, щоб зберегти хворобу під контролем. В цілому ми були дуже задоволені відвідуванням лікаря і підходом до нашої проблеми.",1
"Я був призначений до цього кардіолога моїм сімейним лікарем, і я абсолютно радий побачити його! Доктор зробив дуже глибоке обстеження, пояснив все, що було доступно, і дав чудові поради про те, як зберегти здоров'я серця.",1
"Хоча лікар виглядав досвідченим, я залишався незадоволений тим, що побачив терапевта.",1
"Лікар провів докладне обстеження та дав рекомендації щодо лікування. Був дуже уважним і пояснив все õчно. Мене прийняли дуже оперативно, хоч у лікаря була складна ситуація через гострий випадок. Загалом, я задоволений візитом і раджу цього лікаря іншим. Лікар має доброзичливу манеру спілкування, що дійсно сприяє полегшенню стану пацієнта.",1
"У доньки трапився сильний стрес, її емоційний стан був нестабільний, вирішили звернутись до психіатра, док юа порекомендували Щербину Ю.П.Лікар одразу знайшла підхід до доньки, все пояснила, виписала лікування, яке чудово працює! Дякую",0
"Доктор очень понравилась, очень приятная в общении, очень внимательная, хорошо все об'яснила, била аккуратная, нашла подход к ребенку, ребенок бил спокойний, все било хорошо",0
"Я пішла до невролога з хронічним захворюванням, а лікар зробив огляд і приписав лікування, і він дуже уважно ставився до своїх пацієнтів, і він пояснив все дуже чітко, і він запропонував кілька варіантів лікування, і він був дуже задоволений візитом, і я відчуваю себе більш впевнено в моєму здоров'ї, і лікар був надзвичайно професійним у кожному випадку, і він дав всі необхідні рекомендації, і я рекомендую цього лікаря будь-кому, хто потребує високоякісної неврологічної допомоги.",1
"Очень приятний доктор, хорошо принял, прием бил хороший, понравилось общение с доктором. Доктор меня понял, хорошо вислушал, разобрались что мне нужно, что будем делать. Очень позитивное впечатление",0
"Доктор понравилась, добрая, отзивчивая, не думала что есть такие врачи сейчас.",0
"Лікар дуже ввічливий, але мені все одно трохи нервувало під час візиту. Приїхав на другу думку щодо певних проблем зі здоров'ям і лікар провів оглядини та обстеження. Все пройшло досить швидко, однак результати ще мають бути остаточно затверджені. Медик прописав певний курс лікування, але я б хотів мати більше інформації щодо того, чого саме слід сподіватися. Загалом, все пройшло професійно, але мені потрібно ще трохи часу, щоб усі підсумки зрозуміти. Надіюсь, що подальші візити принесуть мені більше спокою щодо свого стану. Лікар справив позитивне враження, лише потрібно буде побачити, чи допоможе призначене лікування. В цілому, все було гаразд, але ще передчасно говорити про остаточні результати.",1
"Нам понравилось, очень дружелюбний и с детьми находит хороший контакт.Ребенок доволен, родители тоже.",0
"Вполне компетентний доктор, пунктуальний. По уму проконсультировал и не придумивал лишних задач. Все понятно и доступно.",0
"Врач внимательна, отзивчива, взяла анализ очень аккуратно (несмотря на то что у меня били нюанси), корректна. СПАСИБО.",0
"Я пішла до невролога через серйозну температуру і сильні болі, і лікар перевірив мене, відписав лікування, і я дуже позитивна. Доктор дуже гостинний і професійний, і він дав мені поради про те, що робити далі, і завдяки йому я відчуваю себе набагато краще.",1
"Нормальний доктор, хорошо проконсультировала. Учла все, что я говорила. Я осталась довольна.",0
"Ми пішли до лікаря з дитиною на консультацію про проблеми з нашими зубами. Лікар був дуже добрим і уважним до дитини. Ми зробили огляд і запропонували лікування. Ми отримали всю необхідну інформацію про наступні кроки. Лікар пояснив все просто і доступно, навіть дитина зрозуміла все легко. Ми дуже вдячні до лікаря за його професійну і хорошу роботу. Дитина відчуває себе набагато краще після візиту. Ми рекомендуємо цього лікаря всім нашим знайомим. Лікар створив для нас дуже зручне і спокійне сприйняття всього процесу лікування. Ми дуже задоволені результатами нашого візиту до лікаря і сподіваємося на подальшу співпрацю.",1
Розмова була конструктивною та продуктивною. Консультацією задоволені.,0
"Я був відправлений до цього лікаря сімейним лікарем, тому я був трохи нервовим. Але лікар зробив дуже вежливе і професійне обстеження. Він пояснив все, що було доступно, тому я відчував себе трохи легше. Все було добре організовано, хоча ми трохи чекали результатів обстеження.",1
"Відвідував лікаря-дерматолога для профілактичного огляду. Лікар виявився дуже приємною та професійною людиною. Провели обстеження, а також порадили щодо профілактичних заходів для шкіри. Лікар вислухала всі мої запитання й докладно пояснила все. Рекомендувала певні засоби для догляду за шкірою, які мені вже почали допомогати. Загалом, візит до лікаря проходив у дуже приємній атмосфері, а результати його порад вже помітні. Дуже радий, що вибрав цього лікаря, й певен, що повернусь до нього . Лікар має чудовий підхід до пацієнтів, дуже уважна та доброзичлива. Рекомендую цьому лікарю .",1
"Відвідав лікаря-невролога через гострий випадок, пов'язаний із високою температурою та сильним болем. Лікар провів обстеження, проте мені здається, що не досить глибоке. Рекомендації щодо лікування були досить загальні, не повністю відповідали моїм очікуванням. Попри це, лікар показав себе як компетентний спеціаліст, хоч і не повністю вирішив мою проблему. Зрештою, мене направили на додаткове обстеження, яке, надіюсь, дозволить встановити точнішу причину моєї хвороби. Буду розглядати інші варіанти лікування, оскільки сподіваюсь знайти більш ефективне рішення своєї проблеми.",1
Була кваліфікована консультація. Все пройшло добре.,0
"Все добре, лікарка сподобалась, від прийому задоволена",0
"Я знову відвідував гастроентеролога, і я повинен сказати, що все було досить добре. Вони дуже добре перевірили мене, хоча нічого нового не знайшли. Лікар був досить гостинний, але я відчував себе досить втомитим під час нашої розмови. Можливо, це було тому, що я був дуже втомитий після всього лікування. В будь-якому випадку, лікар дав мені якісь хороші поради щодо подальшого лікування, і я сподіваюся, що вони допоможуть мені відчути себе краще. В цілому все було добре, хоча нічого особливого не сталося. Лікар зробив свою роботу, і я вдячний йому за це. Однак я все ще відчуваю себе дуже втомилим і сподіваюся, що це скоро закінчиться.",1
"Я так вдячна цьому фантастичному лікарі! Мене поводили неймовірно професійно, ідеально для мого стану здоров'я. Я знову була у гінеколога, і я відчуваю неймовірно полегшення. Він найкращий лікар, яким я міг бути, надзвичайно уважний і добрий.",1
"Це дійсно хороший огляд! Доктор дуже компетентний і піклуваний. Мене швидко прийняли, тому що у мене була висока температура і сильний біль. Доктор дав мені дуже корисну пораду і приписав ефективний лікування. Це вийшло дуже плавно і швидко! Доктор є відмінним фахівцем у своїй галузі, він відчуває, що він робить багато для відновлення здоров'я своїх пацієнтів.",1
"Візит пройшов добре, найвища оцінка лікарці, дякую!",0
Після прийому з'явилось друге дихання. Буду його всім рекомендувати. Дуже ціную таких спеціалістів.,0
"Я відвідав ендокринолога для лікування хронічного захворювання. лікар зробив обстеження, дав поради про лікування та доручив ліки. Зустріч була дуже корисна, лікар пояснив всеЯсно і дав рекомендації щодо подальшого лікування. У цілому візит був дуже успішним, я відчуваю себе краще після консультації з лікарем.",1
"Я звернулася до ідеального терапевта для екстренної медичної допомоги, лікар був неймовірно кваліфікований, його ідеальне лікування було найефективнішим, і я дуже радий, що вибрав цього спеціаліста, тому що він найкращий лікар, якого я коли-небудь бачив, і я так радий, що він отримав такі неймовірно позитивні результати від своєї терапії.",1
"Все сподобалось, лікарка уважна, професійна. прописала усе що потрібно зробити. Призначене лікування вже за два дні показало результат. Консультацією залишились задоволені.",0
"Відвідувала терапевта через хронічне захворювання. Провели обстеження, призначили лікування. Лікар був уважним, але я вже втомилась від довгих і повторюваних візитів. Сподіваюсь, що одного дня все покращається. Лікар дав добрі поради, але зараз мені складно оцінити ефективність лікування. Надіюсь на поліпшення свого стану в майбутньому.",1
"Лікаркою цілком задоволена, все добре пройшло на прийомі, дякую.",0
"Прекрасний врач, все хорошо. Поговорили, обследовали. Просто никаких претензий! Человек об'яснил все, рассказал как, что, где. Все хорошо!",0
"Візит до лікаря був досить успішним! Доктор пройшов перевірки, дав поради щодо здоров'я зубів. Все вийшло дуже добре, лікар був дуже дружелюбний і професійний. Його рекомендація щодо стоматологічної допомоги була дуже корисною.",1
Все пройшло на вищому рівні. Дуже вдячна Юлії Валеріївни за професійну роботу.,0
"Відвідав лікаря-стоматолога на післяопераційний огляд. Лікар провів обстеження й дав рекомендації щодо подальшого лікування. Все пройшло досить спокійно, лікар пояснив усі деталі та відповів на мої питання. Залишив позитивне враження від візиту, оскільки лікаря була уважна й професійно підходила до питання. Залишаюся задоволеним результатом лікування та порадами, які мені дали. З певністю рекомендую цього лікаря тим, хто шукає кваліфіковану допомогу в галузі стоматології. Лікар показав себе як досвідчений спеціаліст, здатний надати необхідну підтримку й допомогу у складних випадках.",1
"Я пішов до хірурга для проведення післяопераційного обстеження, відчував себе трохи нервовим. Я лихо чекав результатів лікарського обстеження. Я довго чекав, щоб лікар переглянув всі результати, але нарешті отримав деякі поради щодо подальшого одужання. В цілому все було добре, але все ще є питання про майбутню реабілітацію.",1
"Я дуже нервувався перед візитом до дерматолога, бо отримав направлення від сімейного лікаря. Лікарем проведено комплексне обстеження, після чого було складено план лікування. Хочу підкреслити професійність лікаря та доброзичливу атмосферу під час прийому. Все пройшло доволі успішно, тож можна сказати, що мене задовольнив результат консультації та поводження лікаря.",1
"Гарний лікар, компетентний у своїй справі.Все добре пройшло. Візитом задоволені.",0
"Лікар дуже уважно взяв нашу дитину, провев глибоке обстеження і повну консультацію щодо стану її здоров'я.Лікар організував підхід до дитини і батьків, пояснив всі рекомендації і надав всю необхідну інформацію для подальшого спостереження. Загальний тон візиту був дуже дружелюбний і професійно організований, з чим ми були дуже задоволені.",1
"Консультацією задоволені - лікарка знайшла підхід до дитини (йому не було страшно). Усе пройшло нормально, зрозуміло пояснила причину проблеми.",0
"Грамотний лікар, все пояснила файно, так що все сподобалось.",0
"Ми були на консультації у лікаря-ортопеда щодо проблем нашої дитини. Під час візиту провели обстеження, але результати не відповідали нашим очікуванням. Лікар був уважним, проте ми сподівались отримати більш точну діагнозу та рекомендації щодо лікування. Загалом, були трохи розчаровані візитом, хоча лікар був доброзичливим та пояснив усе доступно.",1
"Вчора була у лікаря на післяопераційний огляд і залишилась очень задоволена! Лікар дуже доброзичливий, обійшов усіх питань дуже швидко, провели обстеження, дав поради щодо подальшого відновлення. Я була трішки нервова перед візитом, але лікар створив дуже приємну атмосферу, тому всі мої переживання швидко зникли. Тепер я почуваюся набагато краще і впевненіше у своєму відновленні. Було приємно бачити таку уважність і турботу про пацієнтів. Буду рекомендувати цього лікаря всім своїм знайомим, хто потребує післяопераційного огляду. Лікар просто чудовий! Залишаюсь дуже вдячна за таку добру опіку та підтримку.",1
"Я тільки що повернувся з візиту до кардіолога після операції. Чесно кажучи, я був трохи нервозний, але лікар виявився дуженим і привітним. Провели обстеження, щоб перевірити мій стан після операції. Лікар сказав, що все йде добре, але потрібно дотримуватися певних рекомендацій для повного одужання. Мене волновала можливість деяких ускладнень, але лікар заспокоїв мене і пояснив все подробиці мого лікування. Тепер я відчуваю себе значно краще, бо знаю, що мою здоров'ям опікають професіонали.",1
"Прием прошел отлично. Доктор, очень приятная и внимательная. Провела осмотр. Меня все устраивает, я очень довольна приемом.",0
Я осталась очень довольна посещением к Марии Афанасьевне. Терпеливо посмотрела мои документи за прошлий год и изучила скрупулезно свежие анализи которие сдавала. Я порекомендовала ее своим знакомим и родственникам к ней обратиться.,0
"Я був у другому відвідуванні терапевта, і я хочу поділитися своїми враженнями. Доктор дослідив мене глибоко і радив мені про лікування. Він дуже уважно і професійно підходив до мого випадку, дав хороші медичні поради. Я відчував себе досить комфортно під час відвідування, лікар створив дуже теплу атмосферу. Він також пояснив мені всі деталі лікування в доступній формі, так що я зрозумів, що очікувати далі.",1
"Я пішов на швидку допомогу, щоб побачити лікаря з гострою проблемою. лікар зробив огляд і приписав мені ліки. Я намагався бути уважним до всіх питань, але все ще відчував себе трохи некомфортно через деяку невизначеність у поясненнях. Я зробив всі необхідні дії, але очікував трохи більшої уваги до мого випадку. У порівнянні з іншими лікарями цей візит здавався трохи поверхневим. Однак лікар намагався допомогти і показав певну увагу до моїх проблем. В цілому я залишається розчарованим, але я сподіваюся, що лікування допоможе полегшити мою ситуацію.",1
"Візит пройшов добре. У цього лікаря на візиті були вже не перший раз, нам дійсно дуже все подобається.",0
"Лікарка була зі мною ввічлива, усе мені детально пояснила та розповіла по моїй проблемі з якою зверталась. Зустріч пройшла чудово",0
"Я пішов до уролога, щоб отримати другу думку про моє здоров'я. Вони дуже продуманно і професійно підходили до діагнозу. Вони дуже добре вивчили його і дали детальні пояснення про результати. Я відчував себе дуже комфортно і без надмірного стресу.",1
"Лікар дуже уважно і професійно підходив до моєї проблеми, відзначений своєю добротою і професіоналізмом, і після обстеження лікаря він дав мені рекомендацію щодо лікування, і загалом, мені подобається підхід цього лікаря, він дуже уважно слухає пацієнта і дає необхідні поради, і я відчував себе досить комфортно під час візиту.",1
"Я ходила до невролога, все було дуже серйозно, я пройшла курс, лікар приписав мені лікування, і я сподіваюся, це допоможе, тому що відбувся досить тривожний інцидент, і мені порадив лікар про те, що робити, і я чекаю результатів і подальших інструкцій.",1
"Відвідав лікаря-ендокринолога для отримання другої думки щодо здоров'я. Лікарем було проведено повне обстеження та детальний аналіз стану здоров'я. Спеціаліст виявив високу професійність і доброзичливість під час прийому. Обговорили певні моменти, пов'язані зі здоров'ям, та отримав рекомендації щодо подальших дій. Лікарем було надано всю необхідну інформацію про план лікування та подальші кроки. Відзначую уважність та професійність лікаря під час прийому, рекомендації були чіткими та зрозумілими. Загалом, дуже задоволений відвідуванням лікаря та отриманою консультацією.",1
